,time,latitude,longitude,depth,mag,place
1,732312.0855208334,4.649,96.816,38.3,4.4,"northern Sumatra, Indonesia"
2,732312.1218287037,-6.884,154.513,72.5,4.2,"Bougainville region, Papua New Guinea"
3,732312.1400347222,13.951,146.358,36.7,4.6,Mariana Islands region
4,732312.1728356482,2.857,128.861,225.9,4.3,"Halmahera, Indonesia"
5,732312.1886689814,34.74,26.09,19.0,3.0,"Crete, Greece"
6,732312.2262615741,34.053,73.767,10.0,3.7,Pakistan
7,732312.2817476852,31.362,139.929,48.9,4.4,"Izu Islands, Japan region"
8,732312.2999652778,31.394,140.131,10.0,5.6,"Izu Islands, Japan region"
9,732312.3661226851,4.735,95.144,51.5,5.5,"northern Sumatra, Indonesia"
10,732312.3881597222,36.338,71.218,105.7,3.7,"Hindu Kush region, Afghanistan"
11,732312.4675462963,-3.804,128.803,53.6,4.4,"Seram, Indonesia"
12,732312.5114351852,46.282,144.046,355.0,3.7,Sea of Okhotsk
13,732312.5811805555,35.913,136.756,9.5,4.1,"western Honshu, Japan"
14,732312.590787037,45.726,26.784,135.0,3.1,Romania
15,732312.5972337963,35.992,138.63,61.5,4.3,"eastern Honshu, Japan"
16,732312.7744097222,36.338,71.58,102.4,4.5,Afghanistan-Tajikistan-Pakistan region
17,732312.8037268518,48.374,152.207,100.0,3.8,Kuril Islands
18,732312.8143171297,-7.1,129.366,140.6,5.1,"Kepulauan Babar, Indonesia"
19,732312.8986226852,-4.48,128.504,243.5,4.2,Banda Sea
20,732312.9729050926,4.372,95.866,30.0,4.1,"northern Sumatra, Indonesia"
21,732313.0065509259,14.694,144.348,10.0,4.6,"Rota region, Northern Mariana Islands"
22,732313.0321875,1.586,97.157,35.0,4.4,"Nias region, Indonesia"
23,732313.0345601852,33.745,138.878,253.0,3.5,"Izu Islands, Japan region"
24,732313.0426388889,12.361,144.31,35.2,5.7,Guam region
25,732313.0661805555,14.285,143.812,10.0,4.3,Mariana Islands region
26,732313.0713773149,21.833,143.078,261.2,4.3,Mariana Islands region
27,732313.0785648148,26.827,140.866,34.7,4.4,"Bonin Islands, Japan region"
28,732313.0954398148,36.06,26.55,10.0,3.3,"Dodecanese Islands, Greece"
29,732313.1103819445,-5.696,150.626,138.0,4.3,"New Britain region, Papua New Guinea"
30,732313.1463078704,35.633,69.888,109.0,4.3,"Hindu Kush region, Afghanistan"
31,732313.1561805556,2.5,128.931,35.0,4.5,"Halmahera, Indonesia"
32,732313.1586921297,-6.331,127.604,455.9,4.5,Banda Sea
33,732313.1797800926,39.733,73.938,35.0,4.4,Kyrgyzstan-Tajikistan-Xinjiang border region
34,732313.2545833334,33.439,104.768,10.0,4.5,"Gansu, China"
35,732313.2745717593,-5.559,130.193,54.8,3.9,Banda Sea
36,732313.401863426,3.53,93.434,30.0,4.5,off the west coast of northern Sumatra
37,732313.4075347222,-2.939,141.827,30.0,3.6,"near the north coast of New Guinea, Papua New Guinea"
38,732313.4552546296,34.726,73.11,10.0,4.3,Pakistan
39,732313.5012268518,-4.883,152.343,62.4,5.6,"New Britain region, Papua New Guinea"
40,732313.5211342593,35.51,27.75,9.0,3.5,"Dodecanese Islands, Greece"
41,732313.5836805556,12.44,92.63,30.0,4.6,"Andaman Islands, India region"
42,732313.6030324074,26.784,140.689,78.2,4.8,"Bonin Islands, Japan region"
43,732313.6158449074,29.018,142.722,35.0,4.6,"Izu Islands, Japan region"
44,732313.6320138889,-5.327,151.239,177.4,4.5,"New Britain region, Papua New Guinea"
45,732313.7253587963,-13.859,167.051,256.8,4.2,Vanuatu
46,732313.7407754629,13.638,144.499,92.7,4.2,Guam region
47,732313.7705324074,-7.347,102.836,35.0,4.2,"southwest of Sumatra, Indonesia"
48,732313.7756481481,2.572,95.781,23.5,4.1,"Simeulue, Indonesia"
49,732313.8385069445,38.26,144.762,68.8,4.9,"off the east coast of Honshu, Japan"
50,732313.9018981481,36.074,69.976,117.3,4.5,"Hindu Kush region, Afghanistan"
51,732313.9098148148,29.044,142.522,40.0,4.1,"Izu Islands, Japan region"
52,732313.9918518518,5.741,95.809,168.1,4.2,"northern Sumatra, Indonesia"
53,732314.049224537,29.147,139.344,415.5,4.7,"Izu Islands, Japan region"
54,732314.0534606482,38.164,26.734,5.0,3.2,near the coast of western Turkey
55,732314.1032060186,3.65,93.53,28.3,4.8,off the west coast of northern Sumatra
56,732314.1272800926,-6.445,122.387,24.0,4.9,Flores Sea
57,732314.1290162037,36.884,27.757,13.4,3.1,"Dodecanese Islands, Greece"
58,732314.1748611111,53.788,160.799,57.8,4.7,"near the east coast of the Kamchatka Peninsula, Russia"
59,732314.2396990741,38.492,39.277,11.4,2.8,eastern Turkey
60,732314.2563773148,18.654,145.398,200.8,5.2,"Pagan region, Northern Mariana Islands"
61,732314.3245949075,39.894,26.996,22.3,2.9,near the coast of western Turkey
62,732314.3793171296,26.763,140.663,145.4,4.2,"Bonin Islands, Japan region"
63,732314.4542708333,24.652,125.1,32.8,4.2,"southwestern Ryukyu Islands, Japan"
64,732314.4585532408,-0.397,120.059,30.0,5.0,"Minahasa, Sulawesi, Indonesia"
65,732314.4623379629,4.999,94.378,30.0,4.3,off the west coast of northern Sumatra
66,732314.4690046296,-0.139,120.6,30.0,4.2,"Minahasa, Sulawesi, Indonesia"
67,732314.5112268518,-11.044,119.027,30.0,4.5,"south of Sumba, Indonesia"
68,732314.5180555555,41.612,142.439,27.3,4.8,"Hokkaido, Japan region"
69,732314.5194097222,13.841,145.287,78.2,5.8,Guam region
70,732314.6546412037,31.648,131.893,35.0,4.2,"Kyushu, Japan"
71,732314.696400463,-8.252,123.965,154.0,4.2,"Flores region, Indonesia"
72,732314.7091666666,17.008,120.092,93.8,4.0,"Luzon, Philippines"
73,732314.715625,37.79,26.174,7.0,3.8,"Dodecanese Islands, Greece"
74,732314.7490162037,4.586,125.494,159.3,4.9,"Kepulauan Sangihe, Indonesia"
75,732314.7699537037,6.24,124.165,533.2,4.1,"Mindanao, Philippines"
76,732314.8284143518,9.341,124.054,558.9,4.5,"Bohol, Philippines"
77,732314.9915856482,3.611,93.577,30.0,4.6,off the west coast of northern Sumatra
78,732315.2000347222,31.553,131.769,14.0,4.1,"Kyushu, Japan"
79,732315.3049884259,52.544,159.799,82.2,4.7,"off the east coast of the Kamchatka Peninsula, Russia"
80,732315.3907291667,36.08,27.77,43.0,3.4,"Dodecanese Islands, Greece"
81,732315.4481018519,38.436,73.468,96.1,4.4,Tajikistan
82,732315.4649189815,17.468,95.722,38.5,4.2,Myanmar
83,732315.5032175926,34.56,72.919,10.0,3.5,Pakistan
84,732315.5216782407,34.605,73.347,10.0,4.3,Pakistan
85,732315.5741550926,-4.774,153.121,116.7,4.4,"New Ireland region, Papua New Guinea"
86,732315.5920717593,2.985,127.562,18.1,4.9,Molucca Sea
87,732315.6226157408,34.91,26.6,10.0,3.4,"Crete, Greece"
88,732315.6771527778,37.598,142.584,10.0,4.3,"off the east coast of Honshu, Japan"
89,732315.6778819445,32.095,142.413,31.7,4.2,"Izu Islands, Japan region"
90,732315.7166203704,55.839,160.687,189.7,4.1,"Kamchatka Peninsula, Russia"
91,732315.7573611111,-0.384,99.455,64.5,4.3,"southern Sumatra, Indonesia"
92,732315.8507291666,-8.497,110.162,56.1,4.5,"Java, Indonesia"
93,732315.9401041666,44.746,101.8,10.0,4.6,central Mongolia
94,732315.9526157407,34.577,73.14,10.0,4.2,Pakistan
95,732315.9615740741,0.935,134.388,10.0,4.6,"Papua region, Indonesia"
96,732315.9933912037,-7.699,127.702,133.6,3.9,"Kepulauan Barat Daya, Indonesia"
97,732315.9952199074,45.195,29.079,10.0,3.7,Ukraine-Romania border region
98,732316.0287268518,3.824,95.776,30.0,4.4,off the west coast of northern Sumatra
